Bahnaric,Vietnamese,pos,theme
pơgăn,chẹn,đ.,place
pơgăn,chở qua sông,Th.,place
pơgăn,gây cản trở,d.,time
pơgăp,cắp đôi,trđt,ill
pơgăr,làm chắc hạt,dtđv.,time
'beng,đường,d.,thing
pơgĕch,tranh thủ,đ.,time
pơgĕch,vã,đ.,body
pơgĕn,đè đẹp lẫn nhau,d.,time
pơgĕnh,vội vã,t.,animal
pơgĭt,coi trọng,đ.,time
pơgŏ,ép uống rượu,t.,place
pơgŭk,chất đống,đ.,body
pơgŭm,giúp đỡ lẫn nhau,lt.,body
pơgơl,chỉ huy,đ.,animal
pơgơm,oai,t.,ill
pơgơn,trộn thêm,Th.,animal
pơgơng,các chức sắc trong làng,st.,animal
pơgơr,làm điệu,đ.,ill
pơgơ̆,làm điệu,đ.,food
pơgơ̆m,đàn áp,đ.,animal
pơgơ̆ng,chim gầm ghì,dtđv.,time
pơgơ̆ng,gầm,đ.,time
pơgơ̆p,góp phần,đ.,place
pơgơ̆r,cai trị,đ.,time
pơgơ̆t,kiêng cữ,đ.,animal
pơgơ̆t,nhịn,đ.,ill
pơgư̆,làm khách,đ.,ill
trong,đường,d.,food
pơh,bảy,st.,body
pơh,mệt,t.,place
pơh'ngial,thoắt,t.,ill
pơh'ngiă,thoăn,đt.,food
pơha,huống chi,đ.,body
pơha,vạch miệng,Th.,body
pơhach,làm tan,thđ.,food
pơhal,khó khăn,t.,time
pơhal,làm khát nước,t.,place
pơham,cây chay,t.,ill
si`k,đường,d.,place
pơhan,làm sắc bén,đt.,place
pơhang,làm đau lòng,trt.,place
pơhang,quay,đ.,food
pơhar,sắc,đ.,ill
pơhau,làm nản lòng,Th.,place
pơhek,xé chia cho nhau,lt.,place
pơhiah,làm rách,trt.,time
pơhiang,càng ngày càng suy nhược,Th.,time
pơhiar,trải ra,đt.,animal
pơhil,đánh vô cớ cho bớt giận,d.,food
pơhiôk,làm cho dễ dàng,cpl.,food
pơhiăng,làm cực lòng,Th.,food
pơhiĕm,cho ăn,Gt.,time
pơhiĕng,làm đau lòng,Th.,place
pơhiơk,giảm bớt công việc,t.,place
pơhiơt,làm quên lãng,d.,time
pơhiơ̆,giải trí,đ.,body
pơhiơ̆k,gây khó khăn,dtđv.,food
pơhlah,làm tách đôi,st.,food
pơhlah,tấm,dtđv.,time
pơhlah jơ̆ng,kẽ ngắn tay,dtđv.,animal
pơhle,chọc chơi,dtđv.,time
pơhleh hloh,đi không gặp nhau,lt.,time
pơhlit,gây hoang mang,st.,place
pơhliĕng,làm khổ tâm,đt.,ill
pơhloh,làm dư ra,thđ.,food
pơhlom,có lẽ,cpl.,animal
sĩk,đường,d.,ill
pơhlot,bán cho hết,t.,time
pơhlum,giả,t.,food
pơhlum,không thật,dtđv.,food
pơhlut,dụ dỗ,đ.,food
pơhlôh,chọc thủng,đ.,body
pơhlăk,cản trở,đ.,time
pơhlăng,lọc,đ.,body
pơhlơp,làm kín đáo,cpl.,place
pơhmoi,làm cho kêu,dtđv.,animal
pơhngiôm,lấy sương,cpl.,body
sĭk,đường,d.,place
pơhngol,may mắn,t.,body
sĭk đak ngam lơ sĭk dêh,đường,d.,place
pơhngăm,làm cho nặng,st.,body
pơhnhơ̆m,giải tội,đ.,food
pơhno,dạy,đ.,animal
pơhnŏng,cố ý,đ.,food
trong drong ŏu năm tơyơ,đường,d.,place
pơhoai,giải thoát,đ.,body
pơhoch,dẫn nước vào,thđ.,place
pơhoh,mở rộng ra,lt.,time
pơhon,bịa chuyện,đ.,food
pơhon,làm cho mọc,d.,time
pơhong,làm sứt mẻ,st.,food
pơhong,sứt,đ.,ill
pơhoăng,thả xuống,lt.,place
pơhrah,gây đói kém,st.,time
pơhram,làm rỉ nước,dtr.,place
pơhrat,làm khổ sở,trt.,food
pơhrong,giữ gìn nguyên vẹn,t.,ill
pơhruch,cho uống,trt.,place
pơhruh,bắt đền,đ.,body
pơhrui,đi săn có dẫn theo chó,trt.,animal
pơhrôi kŏ,đi săn có dẫn theo chó,st.,time
pơhrôp,ăn,đ.,animal
pơhrôp,ăn mặc đẹp,đt.,time
pơhrăl,làm mất ngủ,cpl.,place
pơhrăm,học,đ.,food
pơhrăn,can,đ.,food
pơhrăn,can ngăn,đ.,food
pơhrăp,làm thoả mãn,d.,food
pơhrăt,gây trở ngại,cpl.,place
pơhrĕl,diệt sạch,trđt,animal
pơhrĕl,sàng sạch thóc,dtr.,animal
pơhrĕng,phơi khô,lt.,place
pơhrŏk,làm tăng sức mạnh,d.,ill
pơhrŭ,bắt vạ,đ.,body
pơhrơch,tiêu xài,đ.,food
pơhrơy,bệnh sởi,st.,time
pơhrơ̆,làm cạn nước,dtđv.,body
pơhrơ̆ng,làm ồn ào,Th.,time
pơhrơ̆p,mặc cho,đt.,time
pơhrưng dĩh bơ̆l,nhường nhịn,đ.,food
pơhuit,làm chóng mặt,Th.,body
pơhuơl,ở không,đ.,time
pơhyiu,làm trôi,t.,ill
pơhôch,nhân vật hoang đường,lt.,place
pơhôp,kiêu ngạo,đ.,food
pơhăk,làm ói mửa,lt.,body
pơhăng,trái ớt,lt.,body
beng,đường,d.,body
pơhăt,quan trọng hóa,đ.,food
pơhăt,tức bụng do ăn uống no,trđt,time
pơhĕch,làm nát vụn,đt.,food
pơhĕl,gây buồn phiên,thđ.,body
pơhŏnh,làm héo,Th.,body
pơhŭm,tắm cho,dtr.,body
trong glung,đường,d.,body
pơhơ,làm nhẹ bớt,cpl.,body
pơhơ,nới lỏng ra,d.,animal
pơhơdu,dùn,đ.,food
pơhơdu,làm dùn dây,thđ.,ill
pơhơi,lơ là,lt.,place
pơhơk,lưỡi gà trong cổ họng,trđt,animal
pơhơ̆k,làm vui lòng,dtđv.,food
pơhơ̆l,nóng nực,t.,time
pơhơ̆t,ngộp thở,d.,place
pơhư,hư,t.,body
pơhư,làm hư hại,thđ.,time
pơhư,tàn phá,đ.,time
pơhưch,làm sảng khoái,đt.,ill
pơi,thổi,đ.,ill
pơih,gạt,đ.,food
pơih,hất,đ.,body
pơih,mùi hôi lúc vật,st.,body
pơih,mở,đ.,place
pơih,ngón đeo nhẫn,d.,animal
trong tih,đường,d.,food
pơja,con chồn,lt.,food
pơjah,cãi vã,đ.,ill
pơjao,giao cho,Th.,body
pơjay,tranh giành,đ.,ill
pơjil,húc nhau,trđt,food
pơjil dih băh,húc nhau,trt.,time
pơjing,kết,đ.,body
pơjing,phát triển,đ.,animal
pơjing,sinh ra,đ.,animal
pơjo,làm cho què,thđ.,place
pơjoh,đá nhau,st.,time
pơjor,gián,đ.,food
pơjor,làm gián đoạn,st.,time
pơjot,bon chen,đ.,body
pơjrah,tham lam,đ.,time
pơjrak,chặn lại,lt.,animal
pơjuô̆,bắt,đ.,animal
pơjuô̆ pơđep,nạt,đ.,food
pơjâu,bói,đ.,place
trong tĭh,đường,d.,place
trong glung,đường cái,d.,ill
pơjâu nang đe rơneh,bà đỡ,đ.,body
pơjâu năng đe rơneh,bà đỡ,đ.,ill
pơjô,làm héo úa,st.,ill
pơjôch,bắt lại,dtr.,place
pơjôch,nhắc lại,đ.,place
pơjôk,quen,đ.,ill
pơjôk,thông phần,cpl.,food
pơjôk,đám,dtđv.,ill
trong tĩh,đường cái,d.,place
pơjô̆,cây rui,thđ.,body
pơjăi,cãi vã,đ.,body
pơjăm,không có bao nhiêu,cpl.,place
pơjăm,không giám,dtr.,animal
pơjăm,nói chuyện,đ.,animal
pơjăn,từ chối,đ.,food
pơjăng,chống đối,đ.,animal
pơjĕ,làm cho gần lại,t.,place
pơjĕl,làm cho hết sạch,t.,food
pơjĕl,làm cho sạch,trđt,body
pơjĭ,đánh đòn,đ.,animal
pơjĭl,chọi,đ.,place
pơjĭl,giấu giếm,đ.,food
pơjĭl,húc nhau,lt.,ill
pơjĭl,quỵt nợ,thđ.,ill
pơjĭldih,húc,đ.,animal
pơjĭt,mười,st.,time
pơjơh,tạm thời,t.,place
pơjơ̆l,làm phiền,đ.,body
kơduang,đường cong,d.,time
trong,đường đi,d.,body
trôm sơ lu`ng,đường hầm,d.,place
pơkao,chéo,t.,animal
trôm sơ lŭng,đường hầm,d.,animal
trôm sơ lủng,đường hầm,d.,food
trong chem chom,đường hẻm,d.,time
trong kơ long,đường lối,d.,food
pơkep,ép,đ.,food
pơkhô,sấy,đ.,ill
pơkiu,làm nũng,đ.,place
glung,đường mòn,d.,time
pơkoih,ngứa,đ.,animal
pơkong,cưới,đ.,body
trong,đường mòn,d.,ill
pơkreh,cào nhẹ,thđ.,food
pơkren,rủa nhau bị cùi hủi,đt.,food
pơkro,làm cho khô,dtr.,time
pơkroch,ốm teo,dtđv.,animal
pơkruh,chất đống,đ.,food
pơkrê,làm sợ hãi,t.,place
pơkrôp,ôm nhau,dtđv.,food
pơkrăl,làm đông,dtđv.,place
pơkrăm,làm chim,d.,ill
pơkrơt,làm mắc cỡ,trt.,ill
pơkrơt,làm ngại ngùng ,dtr.,food
pơkrẽnh,làm cho khô ráo,trt.,food
pơkrỡng,vây giữ con vật ở một chỗ,đt.,ill
pơkrỡng,vây giữ vật ở một chỗ,trđt,animal
pơkrỡp,ướt sũng,đ.,time
pơkrứp,ra oai,đ.,body
pơkuh, nằm đầu,đt.,animal
pơkuh,bệnh đẹn,trt.,place
pơkuh,chân giáp nhau,trđt,body
pơkuh,giúp năm,trđt,ill
pơkuh,gặp nhau,đ.,place
pơkuh,ngủ ,trđt,place
pơkut,giỗ đan bằng tre,dtđv.,food
pơkuê̆ pơkuă,ẩu,đ.,food
pơkuăr,ôm nhau,t.,place
trong năm bơ ngia,đường mòn,d.,ill
pơkă,dặn,đ.,time
pơkă,nhắc nhở,đ.,food
pơkăp,cắn nhau,d.,place
pơkũp,tựa đầu vào,d.,animal
pơkưh,giao phó hết của cải ,trđt,ill
pơkưh,phó,t.,ill
trong uôh,đường mòn,d.,animal
pơl,hói,đ.,time
pơl,tả người,t.,body
trong hling pet,đường nhựa,d.,place
trong tăk su,đường nhựa,d.,ill
pơla,ngà voi,đ.,time
trong mam trong xe treng,đường sắt,d.,time
pơla,đang khi,trt.,time
pơlah,gạo tấm,d.,body
pơlah,tấm,dtđv.,place
trong xe treng,đường sắt,d.,ill
pơlai,con bướm,t.,ill
pơlang,chim bồ chào,đt.,place
trong gre treng,đường sắt,d.,ill
trong gre ŭnh,đường sắt,d.,food
pơlang dru,khướu,đ.,ill
pơlao,bãi cát,đt.,body
pơlao,làm nản lòng,thđ.,time
pơlap,làm uống công,đt.,food
pơlar,lợ,đ.,place
pơlat,làm mỏng lại,st.,place
pơlat,mỏng,t.,animal
pơlau,vô sinh,t.,food
pơle,cây le ,d.,food
pơleh,ngắt,đ.,place
pơleh,vai động vật,dtr.,animal
pơlei,buôn,đ.,place
khăt,đường tắt,d.,place
trong 'dak trong duk,đường thủy,d.,food
pơlei,lànơ,trđt,place
pơlei,nói hành,trt.,animal
pơlei,nói hành ,st.,food
trong đak dơsĭ,đường thủy,d.,time
pơler,đá,đ.,ill
pơleu,chim chào mào,trđt,ill
pơleu,nhỏ,t.,place
pơlieo,chim chào mào,dtđv.,animal
trong đak sĭ,đường thủy,d.,animal
pơling,liên vùng,dtr.,animal
pơling,liên vùng  ,t.,body
pơliêu,chào mào,đ.,food
pơliíng,đần,đ.,time
pơliă,trắng,t.,place
pơliẽng,rê lúa,thđ.,time
pơloi,quá đáng,t.,ill
pơloi pơloi,tiếng chê chỉ thái quá ,st.,body
pơloih,cho trọc,lt.,body
pơloih,lóc thịt khỏi xương,st.,place
pơlom,loại mốì trắng,t.,food
pơlong,thi,đ.,place
pơlong,thi đua,đ.,ill
pơlong,tốt,t.,place
pơlong,đậu,đ.,body
pơlui,phỉnh gạt,đ.,place
klo,dương vật,d.,place
lo,dương vật,d.,place
dŭng,đường vòng,d.,body
pơlum,một loại nấm,lt.,body
pơlung,an ủi,đ.,food
pơlung,dỗ dành,đ.,place
pơlung,dụ dơ,dtr.,place
pơluôch,giết,đ.,food
pơluờ,nịnh hót,đ.,place
pơluờk pơluổl,phát âm không rõ,dtr.,place
pơluỡn,bắt nuốt,st.,food
pơlâu,lá trầu,thđ.,time
pơlâu,lá trầu ,dtr.,body
pơlêch,cho ra,dtđv.,food
pơlêch,làm ra,đ.,place
pơlêh,uống rượu mừng ,dtr.,place
pơlêng,đặt ngửa,lt.,animal
pơlêng ak,ngửa,đ.,food
pơlêr,lờ,đ.,animal
pơlêr,lợ ngọt,trđt,food
jüng,đường vòng,d.,place
pơlìĩt,cúcbâm,t.,place
pơlô,không lãi,đt.,time
pơlô,lỗ,đ.,food
pơlôch,giết,đ.,time
pơlôch,giết chết,Th.,food
pơlôh,dở,t.,place
pơlôih,cho sạch,đt.,body
pơlôk,nuông chiều,đ.,food
pơlôm,giả,t.,food
pơlôm,vờ,đ.,body
pơlônh,dang,đ.,place
pơlõng hoh,thấy gì xin nấy,st.,place
tơdrong 'blok hơdrơr,duy vật lịch sử,d.,ill
pơlă,lòng bàn chân,cpl.,food
pơlă,lòng bàn tay ,Th.,ill
pơlăk,cằn,đ.,ill
pơlăm,chim rau rất,t.,ill
pơlăng kơk,cây rau sam,thđ.,animal
pơlăp,làm hai lòng,dtr.,animal
pơlăt,cho lội qua,cpl.,ill
tơdrong b`lok hơdrơr,duy vật lịch sử,d.,time
pơlđi,chia cho mình phần hơn,dtr.,time
tơdrong ƀlok hơdrơr,duy vật lịch sử,d.,food
pơlĕi,buôn,đ.,animal
ĕch,é,d.,time
kơdơ̆,e lệ,d.,body
kơdỡ,e lệ,d.,food
kĭt,ếch,d.,animal
pơlŏ,sốt,đ.,food
pơlŏ hlăm,sốt,đ.,body
pơlŏ rah rơnh,cảm,đ.,place
pơlŏrah rơnh,cảm,đ.,time
pơlũk,ăn quá độ,thđ.,body
kưt,ếch,d.,animal
pơlŭk,dốt,t.,animal
pơlŭk,đốt nát,st.,animal
pơlơh,thay,đ.,animal
pơlơk,xem xét kỹ,trđt,body
pơlư,trốn biệt,d.,place
pơlẽm,thiêu,đ.,place
pơlẽng,hoàn tất,đ.,place
pơlẽng,khập,dtđv.,time
pơlẽng,mất,đ.,food
pơlẽngjep,chảng hảng,lt.,place
pơlễ,mủi,đ.,food
pơlốm,ăn bắp,cpl.,place
kưt keng,ếch,d.,animal
pơlỡng,cải thiện,đ.,place
pơm,giả,t.,ill
pơm,kết,đ.,time
pơm,làm,đ.,time
pơm,rả,thđ.,ill
pơm,tạo,đ.,time
pơm,vờ,đ.,ill
pơm,xây,đ.,food
pơm năng,thử,đ.,animal
pơm sơ̆i,xây,đ.,ill
pơm ăn đe 'yŏk 'boi,làm gương,đ.,ill
iĕ,ếch,d.,body
pơma,nói,đ.,time
kưt keng ,ếch,d.,time
pơmah,nhai,đ.,animal
kưt,ếch nhái,d.,ill
pơman jĭ,làm cho đau,cpl.,ill
pơmang,cây trái trắng,cpl.,place
oh,em,d.,food
pơmil,làm cho giận,dtđv.,place
pơmot,bỏ đói,dtr.,animal
pơmun,làm tóc,st.,time
pơmun,làm đỏm,đ.,time
pơmă,một chút xíu,dtđv.,food
pơmăh,bắn,đ.,place
pơmăk,thấy kệ,lt.,time
pơmăm,ướt muối cá làm mắm,d.,body
pơmũt,cho vào,t.,body
pơmũt,đồng lòng,đ.,ill
pơmổm,cho bú,Gt.,animal
pơmổm,cho con bú,t.,ill
pơmỡm,đầy ngang mặt,dtr.,place
pơn,băng bó,đ.,ill
pơn,bữa điểm tâm,đt.,food
pơn,nghỉ ngơi,đ.,time
pơn,nghỉ ngơi ,trđt,body
pơnah,bắn,đ.,food
ŏh,em,d.,animal
hyoh,em,d.,body
pơnai,đũa bếp,đ.,food
pơnai,đũa cả,đ.,place
pơnal,bắn,đ.,food
kơmăn,em,d.,food
pơnam,chăm,đ.,body
pơnam,siêng năng,đ.,food
pơnam,đâu,đt.,food
pơnam inh,phủ nhận,đ.,body
pơnan,cây dứa rừng ,trđt,food
pơsau,em,d.,body
pơnang,các loại rau,st.,food
pơnang,cây cau,trt.,place
duch,em dâu,d.,body
pơnat,sắc bén,đ.,food
pơnat,thương xót,đ.,time
pơne,vừa đủ,Th.,time
mi,em dâu,d.,body
oh dră kăn,em gái,d.,ill
pơng,con bọ hung,t.,animal
oh drŏ kăn,em gái,d.,ill
pơng,pơng,dtđv.,body
pơng long klong,đóng nêm,dtđv.,ill
pơng lơng,con bọ rầy,d.,animal
pơnga,một kiểu hoa văn,đt.,food
pơngach,làm nguội,thđ.,place
ŏh drŏ kăn,em gái,d.,animal
oh kơdiŏng,em gái,d.,ill
nhô,em rể,d.,ill
rui,em rể,d.,food
pơngang,kiến nhọt,lt.,time
pơngar,thổi than cho hừng lên,d.,food
pơnge,nhỏng nhẽo,dtr.,animal
pơngeh,hứa suông,Th.,ill
pơngih,hứa suông,đt.,time
pơngiă,giả,t.,food
pơngiơ,sử,đ.,ill
pơngiẽng,ganh tị,đ.,food
pơnglaih,thả,đ.,animal
pơnglon,trố mắt nhìn giận dữ,cpl.,animal
pơngo,bắt ai đứng chờ ,thđ.,food
pơngo,cột ,Th.,place
pơngoh,phỉnh,đ.,time
pơngoi,chán nản,t.,ill
pơngok,đổ nước,cpl.,ill
pơngot,đói,đ.,time
pơngua,làm cho thuần,dtr.,place
pơnguan,tập cho biết vâng lời,dtđv.,ill
pơnguan,vâng,đ.,food
pơngô,chậm chạp,t.,time
pơngôi,dỗ bằng đồ chơi ,t.,animal
pơngôi,dỗ bằng đồ chơi  ,trđt,place
pơngôi,giao họp,lt.,place
oh pôm mĕ 'bă,em ruột,d.,time
pơngôi,quan hệ tình dục,dtđv.,animal
pơngăl,cây laá tấm,dtđv.,animal
pơngũr,nung đỏ bắt,lt.,ill
oh pôm mĕ ƀă,em ruột,d.,time
pơngơi,béo,t.,place
oh pôm mẽ b`ă,em ruột,d.,body
oh drŏ nglo,em trai,d.,ill
pơngơk,ngước đầu lên,Th.,ill
pơngơr,nung đỏ bắt,t.,food
pơngẽl,nói đùa,đ.,time
pơnhah,say mă,Th.,time
ŏh drŏ nglo,em trai,d.,place
oh tơhnglo,em trai,d.,time
pơnhan,chén bát,cpl.,place
pơnhan,làm bộ,đ.,food
pơnhan tih,tô,đ.,ill
pơnhen,chúng mình,đt.,time
pơnheo pơnhăp,chỉ tiếng chim hót líu lo,thđ.,body
pơnhol,con tê tê,thđ.,animal
ga u`nh,ga,d.,ill
pơnhong,làm bộ,đ.,body
pơnhrong,một tấm khăn,d.,place
pơnhuôi,con trút,Th.,body
ga ŭnh,ga,d.,animal
pơnhôm,kiêu ngạo,đ.,time
pơnhă,láng bóng,t.,food
'ier,gà,d.,food
pơnhŭl,độc,t.,ill
pơnhẽch,tránh qua một bên,dtđv.,place
pơniet,chen chúc,đ.,animal
'ler,gà,d.,food
'yer,gà,d.,food
pơnil,tròn,t.,body
'yĕr,gà,d.,food
'yềr,gà,d.,food
ben iẽr,gà,d.,place
pơnong,bộ lạc pơnong,lt.,food
ier,gà,d.,body
pơnuh,thể,đ.,food
pơnuih,liều lĩnh,t.,body
pơnuk,bãi sình lầy voi,d.,place
pơnuk,bông đã sạch hạt,dtđv.,animal
pơnuk,kết thân với nhau,d.,animal
iĕr,gà,d.,ill
pơnung,vũng,st.,body
pơnung kiẽk,bọ ngựa ,t.,ill
pơnunh,cây hoa cà,d.,animal
pơnuôt,nửa,thđ.,ill
pơnuổt,tả lót,thđ.,place
pơnâng,trông,đ.,animal
iẽr,gà,d.,place
pơnên,cái nhau,thđ.,place
iẽr anâm,gà,d.,ill
kon,gà,d.,ill
pơnăh,bắn,đ.,food
pơnăk,cây nẹp tranh,cpl.,food
pơnăk,thanh giật lúc đất vải,thđ.,ill
kyao,gà,d.,time
pơnăr,cánh chim,thđ.,ill
leng,gà,d.,time
pơl,gà,d.,time
pơnăt,cánh mũi tên,d.,ill
yĕr,gà,d.,food
ayer,gà,d.,animal
ayĕr,gà,d.,animal
pơnũ,cái bao,thđ.,animal
pơnũl pơnăl,nổi lềnh bềnh trên mặt nước,lt.,time
pơnũng,cái đục,d.,animal
pơnũng,đục,t.,ill
er,gà,d.,body
i`er,gà,d.,food
pơnŭk kpô,vũng trâu đầm,đt.,ill
ie`r,gà,d.,place
pơnơng,cái cọc,thđ.,time
iăr,gà,d.,ill
pơnơng,vật hoang đường,thđ.,ill
pơnưng,trống,t.,place
pơnẽnh,bật bông,đ.,time
pơnẽnh,cái bật bông,thđ.,place
pơnổ,vàng nguyên chất,st.,body
pơnỡk,sào,cpl.,food
pơnỡt,bờ cát,lt.,place
pơnững,non,t.,animal
pơp,tiếng bốp bốp,st.,food
pơpah,vỗ cánh,cpl.,ill
pơpel,mằn,đ.,animal
pơpeng,hót,đ.,ill
pơpeng,jơjẽng,đt.,food
pơphoih,làm cho luông công,Th.,place
pơpik,quét vôi,st.,food
pơpiăk,lội,đ.,time
plim,gà,d.,time
pơplach,nói dối,đ.,body
pơplih,thay đổi,đ.,food
pơplăk,móc,đ.,body
pơplỡ,bươi,đ.,ill
pơpoh,hứa suông,lt.,body
pơpraih,thanh minh,đ.,body
pơprang,nói rõ ràng,d.,time
pơprang,đuổi vật đi xa,trđt,ill
pơpray,lăng chạ,đt.,time
pơpreh,rớt,đ.,body
pơpreh,đập cho rớt xuống,d.,animal
pơpring,bảo vệ,đ.,ill
pơprăk,tã,đ.,food
pơprẽp,bặm môi tỏ ý không hài lòng,lt.,time
pơprổn,làm cho dạn dĩ,thđ.,body
pơpuh,đuổi,đ.,ill
pơpuh,đuổi di,t.,food
pơpung,đầm mình trong bùn,Th.,time
pơput,bị lừa,d.,ill
pơpêt,tiếng chiêng giữ nhịp,dtr.,body
tĕr,gà,d.,place
pơpôk,phong chức,đ.,animal
pơpông,nở ra,trt.,ill
pơpăk,tiết,đ.,animal
pơpăng,nghe ngóng,đ.,body
pơpăt,tắt,đ.,time
pơpũi,ru ngủ,đ.,food
pơpũk,mãi,trt.,time
pơpŭch,dở,t.,place
ĭer,gà,d.,place
pơpơih,vỗ cánh,dtr.,animal
pơpơk,làm ngã,lt.,animal
pơpơm,giả bộ,đ.,ill
pơpơm jĭ,giả vờ đau,d.,animal
pơpơm loeh,giả vờ chết,lt.,ill
pơpơm lôch,giả vờ chết,st.,place
pơpơm tep,giả vờ ngủ,cpl.,place
pơpẽnh,giãy giụa,đ.,food
pơpẽnh,vẫy,đ.,body
pơpỡr,làm bay đi,dtđv.,food
pơra,đóng góp,đ.,time
pơrah,chặt,t.,place
pơrang,soi sáng,đ.,body
‘yer,gà,d.,ill
râng,gã,d.,animal
pơranh,ỏng,đ.,time
pơre,bất và,trt.,place
pơre,đọc,đ.,body
pơreng,lo  trước,Th.,place
pơreng,lo trước,dtđv.,food
pơri,ép sát lại gần nhau,st.,ill
pơring,vừa tầm khoảng cách bằng cầm tay nhau,Th.,body
ie`r chơ choh,gà chọi,d.,place
pơro,ủ cho lên đen ,đt.,body
pơrrnn,đẻ chung một ổ,t.,time
pơrìm,chia đủ cho từng người,dtđv.,food
pơrô,trang hoang,Th.,time
pơrônh,nhem thèm,đ.,animal
pơră,bói,đ.,place
pơră,kể chuyện,đ.,animal
iĕr chơ choh,gà chọi,d.,animal
pơră trong nă,truyện cười,đ.,ill
pơră tơdrong hơ'mon,kể chuyện,đ.,animal
pơrăm,làm hại,đ.,food
pơrăm,ở luôn,lt.,time
pơrŏ,trang trí,đ.,place
pơrũng,phá thai ,đt.,time
pơrơih,kén ăn,d.,body
pơrơng,cầm giữ,đ.,ill
pơrơng,giữ lại,đ.,place
pơrơngei,giải phóng,đ.,time
pơrỡm,giết vật ,dtr.,ill
chang kri,gà đá,d.,body
ie`r chơ choh,gà đá,d.,time
iĕr chơ choh,gà đá,d.,body
pơsel yang yai,én,đ.,ill
pơsiêm,bón,đ.,place
iĕr hơ kăn,gà mái,d.,animal
pơnăr iẽr yỗng,gà mái,d.,time
pơsum,hâu,dtđv.,place
pơsuât,chắn lại,dtr.,animal
pơsuât,cần trở,trđt,time
pơsâu,ốc suối,d.,body
iĕr h kăn,gà mái,d.,place
'yĕr yŏng,gà mái,d.,food
thum,gà nước,d.,food
pơt,pă,trt.,animal
'yĕr bri,gà rừng,d.,body
iĕr,gà thiến,d.,ill
iĕr  tơ mông,gà trống,d.,place
pơte,nhát đau,st.,place
pơtep,dán,đ.,ill
pơtep,gắn,đ.,ill
pơtep,hàn,đ.,time
pơtep,đặt bé ngủ,lt.,ill
pơthi,lễ bỏ mả,thđ.,food
pơthi,lễ uống rượu bỏ mả,thđ.,body
pơtho,bơtho,dtr.,ill
pơtho,dạy,đ.,place
pơtho,dẫn,đ.,animal
iĕr tơ mông,gà trống,d.,animal
pơtho,giảng,đ.,ill
pơtho,khuyên,đ.,animal
pơtho,vẽ,đ.,food
pơti,mồ côi,t.,body
ayer tơ mông,gà trống,d.,animal
pơtih,pơkao,trđt,time
pơtih,ví dụ,lt.,time
pơtil,chứng minh,đ.,place
pơtil,làm chúng,trđt,ill
'yĕr tơ'mông,gà trống,d.,animal
pơtir,và nhíp lại,d.,place
pơtit,bị chai,lt.,body
pơtit,pơkit,dtđv.,time
pơtoch,đàn hồi,đ.,ill
pơtoi,tiếp tục,đ.,food
pơtok,dẫn qua,st.,body
pơtok,nối,đ.,time
pơtol,làm cho đui mù,Th.,ill
pơtol,đui,đ.,place
pơtom,nảy,đ.,ill
pơtong,ỏng,đ.,ill
pơtop,nẹp lại,dtđv.,time
pơtop,phụ tơ,trt.,animal
pơtrok,vá chỗ bị rách,dtr.,body
pơtru,tệ,t.,place
pơtruh,gởi,đ.,place
pơtrô,hòa hợp,đ.,place
pơtrăl,làm tỉnh thức,thđ.,ill
yĕr tơmông,gà trống,d.,animal
pơtrẽn,khoác lác,đ.,time
pơtrữt,thúc giục,đ.,ill
pơtu,đội cho,cpl.,food
pơtuah,gièm pha,đ.,ill
pơtual,làm hề,đt.,animal
pơtuch,pha,đ.,ill
pơtui,cỏ chửa bệnh,st.,food
pơtui,nuông chiều,đ.,ill
pơtui,vật hiến sinh,lt.,food
pơtuih,rẫy đã phát xong,đt.,time
pơtum,khối u dưới da,đt.,food
pơtuôch,nhọt,t.,animal
pơtuăt,cản trở,đ.,food
pơtuơl,to,t.,time
pơtuơl,trương,đ.,animal
pơtuổl,ổ mối,st.,body
kuĭl,gạc,d.,ill
pơtê,phi,t.,food
pơtêh,cây rừng,trt.,ill
pơtêng,nghinh,đ.,animal
pơtêng,so sánh,đ.,animal
pơtôch,kết thúc,đ.,body
pơtôh,làm nổ,đt.,time
pơtôi,đặt lên vai,st.,body
pơtôk,phỏng,lt.,food
pơtôm,làm cho đủ,thđ.,food
pơtông,trương,đ.,ill
pơtõl,gò mối,dtđv.,animal
pơtõl,trôi lềnh đềnh,dtđv.,food
pơtă,che áp mía,st.,food
pơtă,cán bông,Th.,ill
pơtă,dụng có tách hạt bông,dtr.,time
pơtă,tách hạt,st.,time
ake,gạc,d.,ill
pơtăk pơtông,hai vật nhỏ trôi lềnh bềnh theo dòng nước,dtđv.,food
pơtăk pơtông,xác chết mình bụng,thđ.,animal
pơtăk pơtông,xác chết nhỏ mình bụng,trđt,body
pơtăl,thay thế tổng,dtđv.,ill
pơtăl,đại diện,đ.,time
pơtăm,cấy,đ.,animal
pơtăm,trồng,đ.,place
pơtăm,vật,đ.,place
pơtăm 'ba,cấy,đ.,body
pơtăng,làm cho đắng,trđt,ill
pơtăng,phình,đ.,place
pơtăng,phình ra,trđt,place
pơtăng,xếp hàng,đ.,body
pơtăp,dặn dò,đ.,food
pơtăp,làm cho giáp lòng tròn,trđt,animal
prơng,gác xép,d.,time
pơtĕng,nhọt,t.,body
pơtŏ,hâm,đ.,animal
pơtŏ,hâm nóng,đ.,body
pơtŏ,ngu,t.,ill
