tay,viet,pos,theme
Nặm chẳm,nước chấm,V,
Nặm lìn,nước máng,N,
Nặm mí,dấm,M,
Nặm muốc,nước vo gạo,N,
Nặm mường,đất nước,N,place
Nặm mường,xứ sở,M,place
Nặm mường,quê hương,N,place
Nặm noòng,nước lũ,N,
Nặm nồm,sữa,N,
Nặm ta,nước sông,N,
Nặm tha,nước mắt,N,
Nặm thang,canh,M,
Nặm thúa,tương,M,
Nặm xăng,ao tù,N,place
Nằn,rền,M,
Nằn,ròn rã,N,
Nằn nì,nằng nặc,N,
Nằn nờ,vang rền,V,
Nằn nờ,ầm ĩ,M,
Năn,thẳng,A,
Tàng Năn,đường thẳng,N,place
Nẳn,nặn,M,
Nẳn,vê,M,
Năng,da,N,
Năng vài,da trâu,N,
Năng nựa,da thịt,N,
Năng,vỏ,N,
Năng mạy,vỏ cây,N,
Năng mền,biểu bì,M,
Năng mền,sởn gai ốc,N,
Năng nựa,da dẻ,M,
Năng phiu,da bì,N,
Năng,ngồi,V,
Năng tắng,ngồi ghế,V,
Năng nưa,ngồi trên,E,
Năng,lắng,M,
Bưa Năng,bột lắng,N,
Năng doóng,ngồi xổm,V,
Năng nỉ,ăn vạ,M,
Năng nỉ,nằm vạ,V,
Nắt,thích,V,
Nắt nỉu,đằm thắm,N,
Nắt nỉu,thắm thiết,N,
Nắt nỉu,say mê,V,
Nẩn,nổi mụn,M,
Nâng,một,M,
Cần Nâng,một người,N,
Vằn Nâng,một ngày,N,time
Nâng,nhúc nhích,N,
Nâng,động đậy,N,
Nẩng,đồ,N,
Nẩng,hấp,M,
nâu,thối rữa,N,
Nựa nâu,thịt thối,N,
Nậu,nụ,Nc,
Nậu bjoóc,nụ hoa,N,
Nậu sửa,cúc áo,N,
Nậu xu,hoa tai,N,
Nâư,buổi sáng,N,time
Nâư chạu,sáng sớm,N,time
Tằng Nâư,ban sáng,N,time
Nâư,ngày,N,time
Slam Nâư,ba ngày,N,time
Nâư căm,sớm hôm,N,time
Nâư dìn,sáng hôm kia,N,time
Nâư lừ,sáng ngày kia,N,time
Nâư lương,sáng ngày kìa,N,time
Nâư mụn,sáng hôm kìa,N,time
Nâư nấy,sáng nay,P,time
Nâư ngòa,sáng hôm qua,N,time
Nâư pjục,sáng mai,M,time
Nẩư,nhẹ,A,
háp Nẩư,gánh nhẹ,N,
Pinh Nẩư,bệnh nhẹ,N,
Nẩư,nhanh,A,
Nẩư,mau,M,
Nẩu fống,nhẹ bỗng,R,
Nẩư fứt,nhẹ tênh,M,
Nẩư nỏ,nhanh nhẹn,M,
Nẩư nỏ,nhẹ nhàng,A,
Nầy nuột,giẫm nát,N,
Nầy nuột,giày xéo,N,
Nấy,này,P,
ăn Nấy,cái này,P,
Rườn Nấy,nhà này,P,place
Nấy,nay,P,time
Vằn Nấy,hôm nay,N,time
Tơi Nấy,thời nay,P,time
Nấy,đây,P,
dú Nấy,ở đây,E,
Nấy,đây này,P,
Nấy,thì đấy,C,
Ne,dong tóc tiên,N,
Nè,này,P,
Nè,nhé,T,
Nè,đi,V,
Nè,nào,P,
Chin Nè,ăn đi,V,
Né,đấy,P,
Né,thế đấy,T,
Né,kìa,P,
nẹ,thế,P,
Nem,cái nem,T,
Nem,dán,V,
Nem,dính,V,
Nem,sát,A,
Nem,theo nhau,V,
Nem chắp,dính líu,V,
Nèm,theo,V,
Nèm lăng,theo sau,V,
Pây Nèm,đi theo,V,
Nẻm,chòi,M,
Nẻm,khều,M,
Nẻm mác,chòi quả,T,
Nèn,tết,N,time
Chin Nèn,ăn tết,V,time
Nèn tẻt,tết nhất,N,time
Nẻn,nến,M,
Tẻm Nẻn,thắp nến,V,
Nẻn,nhựa,N,
Nẻn cươm,nhựa trám,N,
Nẹn,nện,M,
Nẻng,cây sa nhân,N,
Néng,với,E,
Néng,níu,M,
Néng néng,lõng thõng,M,
Neo,đánh dấu,M,
Nèo,cái sẹo,N,
Nèo vài,cái sẹo trâu,N,
Neo,nước đái,N,
oóc Neo,đi đái,V,
Neo hai,đái dầm,N,
Neo nỉu,đái rắt,N,
Nẻo,vặn,M,
Nẻo nẻo,rung rinh,V,
Nẻo nét,kĩu kịt,N,
Nép,cái nhíp,T,
Nép,kẹp,M,
Nép kha,kẹp chân,V,
Nép nhuốt,nhổ râu,V,
Nép,xấp,M,
Nẹp,cạp,M,
Nét,nín,M,
Nét,xẹp,M,
Nét,mịn,M,
Nựa Nét,da mịn,N,
Nếp,cài,M,
Nếp,ghi nhớ,M,
Nết,mỏi,M,
Mừ Nết,mỏi tay,V,
Ngà,vừng,M,
Ngà,cái hom,T,
Ngà dầy,hom đó,P,
Ngà,giơ,M,
Ngà lán,đậu Hà Lan,Np,
Ngà ngoóc,vừng hạt cải,N,
Ngai,mầm,M,
Ngai,nhánh,M,
Nga,thèm,V,
Ngá,kêu,V,
Vài Ngá,trâu kêu,V,
Ngạc,ngả ra,P,
Ngạc,choãi ra,V,
Ngai,ngửa,M,
Nòn Ngai,nằm ngửa,V,
Ngai mừ,ngửa bàn tay,N,
Ngai,lật ngửa,V,
Ngài,bữa trưa,N,time
Chin Ngài,ăn bữa trưa,N,time
Ngài,chịu,V,
Ngài,bị,V,
Ngài,thế mà,T,
Ngai,cây ngải cứu,V,
Ngai,dễ,A,
Ngai,dễ dãi,M,
Chứng Ngai,tính dễ dãi,N,
Ngai,dễ bảo,V,
Ngai khiển,dễ sai bảo,A,
Ngại chin,dễ làm,V,
Ngại chin,ngon xơi,M,
Ngai lum,dễ ợt,M,
Ngải ngựt,dễ dàng,A,
Ngái,dân tộc Ngái,Np,
Ngái,người Ngái,Np,
Ngại,nghĩa,N,
Ngàm,chạc cây,N,
Ngàm,ngậm,M,
Ngàm chàm,ghen tị,N,
Ngàm nghe,háng,M,
Ngám,vừa,R,
Ngám,vừa lòng,N,
Ngám ý,vừa ý,V,
Ngám,vừa,R,
Ngám chỏ,đáng kiếp,V,
Ngám cò,vừa ý,V,
Ngám cò,vừa lòng,N,
Ngám đây,vừa phải,V,
Ngám đây,vừa vặn,V,
Ngạm,đỉnh đèo,N,
Ngạm,Háng,Np,
Ngạm kha,háng chân,N,
Ngạm ngạm,trần truồng,M,
Ngan,con ngan,N,
Ngàn ngàn,ngỗng,M,
Ngàn ngàn,cong vổng lên,V,
Ngan,rừng sâu,N,place
Ngan,nhiều,A,
Ngan,nỗi,N,
Ngạn rạ,rừng đại ngàn,N,place
Ngản,ngấy,M,
Ngản,chán,M,
Ngản ngốc,phát ngán,V,
Ngản ngốc,phát ngấy,V,
Ngang,khăn vấn,M,
Cuôm Ngang,chít khăn vấn,N,
Ngàng,"cứ, mặc sức",CH,
Ngáng,cành to,N,
Ngao ngản,chán chường,V,
Ngào,trộn,V,
Ngào,khuấy đều,N,place
Ngao ngạo,nhua nhúa,N,
Ngao ngạo,ngo ngoe,N,
Ngáo,gầm,M,
Ngáo,kêu,V,
Slưa Ngáo,hổ gầm,N,
Mèo Ngáo,mèo kêu,V,
Ngạo,bẩy,M,
Ngạp,đờm,M,
Ngạp mèo,bệnh hen,N,
Ngạt,mầm,M,
Ngạt,giá,N,
Ngạt ngạt,chổng ngổng,N,
Ngàu,bóng,N,
Ngàu đét,bóng nắng,N,
Nhăm Ngàu,đứng bóng,V,
Ngàu mồn,đứng bóng,V,
Ngàu nghít,sạch trơn,M,
Ngàu nghít,hết sạch,V,
Ngảu,đỉnh,N,
Ngảu hua,đỉnh đầu,N,
Ngảu,đầu,N,
Ngảu qua,đầu quả dưa,T,
ngau,ngấy,M,
ngau pì,ngấy mỡ,N,
ngau,đau đầu,M,
ngau,chóng mặt,M,
Hua ngau,đau đầu,M,
ngau,say,M,
Ngau ngựt,chán ngấy,V,
Ngay,ngay,T,
Pây Ngay,đi ngay,T,
Ngay ngúm,hiền lành,A,
Ngạy,nghĩ,V,
Ngạy ngạy,canh cánh,V,
Ngặc ngặc,gật gật,V,
Ngặc ngặc,anh ách,V,
Ngằm ngằm,lầu bầu,N,
Ngằm ngựn,hậm hực,N,
Ngắm ngál,áy náy,N,
Ngắm ngál,do dự,E,
Ngắm slằn,kì kèo,N,
Ngắm slằn,lằng nhằng,N,
Ngằn,bẩy,M,
Ngằn,chốt,M,
Ngằn,cản trở,M,
Ngằn,ngạt,M,
Thai Ngằn,chết ngạt,V,
Ngằng,gầm gừ,N,
Ma Ngằng,chó gầm gừ,N,
Ngắng,kêu ẳng,V,
Ngắng ngắng,ăng ẳng,N,
Ngắng ngắng,oái oái,N,
Ngần,bạc tiền,N,
Ngần khao,bạc trắng,N,
Ngần chèn,tiền bạc,N,
Ngận,cây nhãn,N,
Ngậu,cây sen,N,
Ngậu rậu,chồm chỗm,N,
Ngầu,mong,V,
Ngầu,trông ngóng,V,
Ngâư,ngẩn,M,
Ngấư,cái,T,
Ngậư,khờ khạo,N,
Ngậu ngoạng,mất trí,M,
Ngậu ngoạng,quẫn trí,M,
Ngậy,cạy,M,
Nghè,cây quả quýt,M,
Nghè,nhánh ngồng,N,
Nghè,trò trống,N,
Nghé,cái,T,
Nghé,chiếc,Nc,
Nghé rườn,cái nhà,N,place
nghẹ,củ nghệ,M,
Nghẻn,gặm,M,
ngheng,bướng bỉnh,N,
nghéng,ngả lưng,P,
Nghéng,chết,V,
Thai Nghéng,chết mất rồi,T,
Nghét nghét,nghi ngút,A,
Nghét nghét,tấn tới,E,
Nghị nghi,lò dò,M,
Nghị,nghĩ,V,
Nghịa,nghĩa,N,
nghịa,nghĩa,N,
nghịa,ơn nghĩa,N,
Nghiệt,kiệt sức,M,
Nghiều,tép riu,N,
Nghiều,xơ,M,
Nghiều,tép,M,
Nghiệu,nhiễu,M,
Nghìm,mẩu,M,
Nghìm,miếng nhỏ,N,
Nghịu,cây gạo,N,
Bjoóc Nghịu,hoa gạo,N,
Phải Nghịu,bông gạo,N,
Ngo,tớ,M,
Ngọ,ngọ,M,
Pi Ngọ,năm ngọ,N,time
Ngòa,qua,V,time
Vằn Ngòa,hôm qua,N,time
Ngòa,trước,E,
Bươn Ngòa,tháng trước,N,time
Pây Ngòa,lần trước,N,
Ngoa,cây vả,M,
Ngọa,ngói,N,
Rườn Ngọa,nhà ngói,N,place
Ngoạc,"ngoảnh, quay lại",V,time
Ngoạc teo,quay lại,V,time
Ngoại,"ngả, nghiêng",P,
Ngoại ngụt,nghiêng chếch,N,
Ngoạt ngoạt,uể oải,N,
Ngoay,ngoái,M,
Ngoay,quay lại,V,time
Ngoay mà,quay trở về,V,time
Ngoắc,vắc,M,
Ngoắc ngóe,lắc,V,
Ngoặc,gật,V,
Ngoặc cò,gật đầu,V,
Ngoặc,thông đồng,M,
Ngoẹp ngoẹp,thoi thóp,N,
Ngoẹp ngoẹp,ngóp,M,
Ngòi,trông,V,
Ngòi rườn,trông nhà,V,place
Ngòi nấy,coi chừng,V,
Ngòi,xem,V,
Ngòi rây,xem rẫy,V,
Ngòi,chăn,M,
Ngòi vài,chăn trâu,V,
Ngòi,chăm sóc,V,
Ngòi đu,trông nom,V,
Ngòi mà,xem ra,X,
Ngoi,ngòi,M,
Ngoi phảo,ngòi pháo,N,
Ngọi ngọi,ngay ngáy,T,
Ngọi ngọi,canh cánh,V,
Ngòm,nổi đầu,N,
Pja Ngòm,cá nổi đầu,N,
Ngóm ngóm,lom khom,N,
Ngọm,võng xuống,V,
Ngoòng,"mong, mong đợi",V,
Ngọp ngoẹp,thoi thóp,N,
Ngót ngót,leo lét,V,
Ngót ngót,lóp ngóp,N,
ngọt,đỉnh chót,N,
ngọt sliểm,đầu mũi nhọn,N,
ngọt đăng,chót mũi,V,
ngọt khau,đỉnh núi,N,place
Ngô,rau ngổ,N,
Ngộ,gặp,V,
Ngộc lộc,chồm hỗm,N,
Ngồm ngoàn,lởm chởm,N,
Ngộm,vít,M,
Ngôn,"cỗi, chết già",CH,
Ngốn táo,lăn đùng,M,
Ngốn táo,đổ kềnh,V,
Ngông,"bật, bỗng",CH,
Ngông ngông,lêu nghêu,N,
Ngống,nhông nhông,N,
Ngống ngáng,ngổn ngang,A,
Ngống ngáng,nhởn nhơ,N,
Ngống ngáng,không hòa thuận,V,
Ngù,con rắn,N,
Ngù hấu,rắn hổ mang,N,
Ngù kheo,rắn lục,N,
Ngù quẻng,rắn giun,N,
Ngù slinh,rắn ráo,N,
Ngu ngu,lù đù,N,
Ngơ,ngờ,V,
Ngơ,tưởng,V,
Ngùm ngùm,lầu bầu,N,
Ngùm ngùm,rì rầm,A,
Ngum ngoan,chậm chạp,M,
Nguộc,đẹp,A,
Nguộn,lá ngón,N,
Nguông,ngốc,M,
ngút,vụt dậy,V,
ngút pây,vụt đi,V,
ngút dú,vụt ở,E,
Ngứt ngảo,ngào ngạt,N,
Ngút ngút,nghi ngút,A,
Ngút tứn,vùng dậy,V,
Ngư nga,thơ thẩn,N,
Ngư nga,la cà,N,
Ngử,ngẩng,M,
Ngử hua,ngẩng đầu,N,
Ngử,thưa,V,
Ngưn,ngấy,M,
Ngưn,váng,M,
Hua Ngưn,váng đầu,N,
Ngưng ngang,choáng váng,N,
Ngước,lợi,N,
Ngước chếp,đau lợi,V,
Ngước,mang,V,
Ngước pja,mang cá,V,
Ngược,thuồng luồng,N,
Ngườm,hang,N,place
Ngườm hin,hang đá,N,place
Ngườm,động,N,place
Ngứt ngảo,ngùn ngụt,N,
Ngựt,ngấy,M,
Ngựt,chừa,M,
Ngựt ngư,ốm lửng,N,
Ngựt ngư,chần chừ,M,
Nha,phát bệnh,V,
Nha,giận dỗi,V,
Hết Nha,hờn dỗi,N,
Nhả,cỏ,N,
Bjai Nhả,rẫy cỏ,N,
Nhả,thuốc,N,
Nhả cà,cỏ gianh,N,
Nhả dầy,cỏ bái,N,
Nhả khoác,cỏ may,N,
Nhả ngại,cây ngải cứu,V,
Nhả nhác,tác rưởi,M,
Nhả nhùng,cỏ rác,N,
Nhá,trầu không dại,A,
Nhá,bã,M,
Nhá mjầu,bã trầu,N,
Nhác nhác,cười nham nhở,V,
Nhạc,bó mạ,V,
Nhạc nhạc,nhồm nhoàm,N,
nham,nắm,M,
nham,túm,M,
nham,đớp,M,
Nhan,ghẻ,N,
Nhan vài,ghẻ trâu,N,
Ma Nhan,chó ghẻ,N,
Nhản,cắn,V,
Ma Nhản,chó cắn,V,
Nhản,gậm,M,
Nhạn,chim nhạn,N,
Nhạn kỉnh,kính mắt,V,
Nhang,hương,N,
Nhang,"làm ma, cúng",V,
Nhang phi,làm ma,V,
Nhang,hốc,M,
Nháng,"to, thô",A,
Phải Nháng,vải sợi thô,N,
Nháng,"kiêu, ba hoa",N,
Nháng nhút,to sụ,M,
Nhào nhào,rầm rầm,M,
Nhào nhào,ào ào,A,
Nháo,"đàn, tốp, bầy",CH,
Nháo cáy,bầy gà,N,
Nháo cần,tốp người,N,
Nhạo nhược,ngây ngấy,N,
Nhạo nhược,rợn,M,
Nháp,dai,M,
Nháp,"lười, khó bảo",A,
Nháp nhắng,dai nhách,M,
Nhát,xồm,M,
Nhát nhát,sồn sột,N,
Nháu,nhăn,M,
Phjác Nháu,trán nhăn,N,
Nhạu,"trêu, đùa",CH,
Phuối Nhạu,nói đùa,V,
Nhạu đếch,trêu trẻ con,V,
Nhay,"giẫm đạp, nhào",CH,
Nhay pùng,giẫm đạp bùn,N,
Nhay,"dằm, dầm",CH,
Nhắc nhau,cáu gắt,N,
Nhắc nhỏi,thấm thoát,V,
Nhắc nhỏi,vừa mới,R,
Nhặc,cái đinh ba,M,
Nhặc,"băm, nghịch dao",N,
Nhăm nhi,lầm rầm,N,
Nhằm,"mong muốn, định",V,
Nhằm,"ngâm, hát",V,
Nhằm sli,ngâm thơ,V,
Nhằm nhoa,bỗng thấy,V,
Nhăm,giẫm,M,
Nhăm,đi lại,M,
Nhằm,nhắm,V,
Nhằm lẩu,nhắm với rượu,E,
Nhằm đướn,quen mui,V,
Nhằm nhác,rác rưởi,M,
Nhằm nhác,nhớn nhác,M,
Nhắm nháy,khoe,V,
Nhắm nháy,nhử,M,
Nhằm nhỏ,nhấp nháp,N,
Nhằm nhéc,tủm tỉm,N,
Nhăn,"mỉa, kháy",CH,
Khua Nhăn,cười mỉa,V,
Nhăn,chơi khăm,V,
Hết Nhăn,chơi khăm,V,
Nhăn,con muội,N,
Nhăn,"chịu, chấp nhận",V,
Nhăn,đồng ý,V,
Nhẳn,bóp,M,
Nhẳn pủn,bóp bún,N,
Nhẳn,ấn,M,
Nhẳn,nặn,M,
Nhẳn,vắt,M,
Nhặn,"đè, dìm",CH,
Nhặn lồng,đè xuống,V,
Nhặn,"nhịn, nén",CH,
Nhặn slính,nén giận,V,
Nhặn lẩu,nhịn uống rượu,V,
Nhằng,còn,R,
Nhắng,bận,M,
Nhắng nhắng,inh ỏi,M,
Nhắng nhắng,ầm ầm,M,
Nhắp,"vơ, nhặt lấy",V,
Nhắp nhép,nhặt vặt vãnh,V,
Nhắp nhép,vặt,M,
Nhắp nhép,ăn cắp vặt,N,
Nhặp,khâu,M,
Nhặp slửa,khâu áo,N,
Nhặp nhọm,may vá,M,
Nhặt,chật,A,
Nhặt,càng,R,
Nhất,nhích,M,
Nhâu,"giẫm, giẫm nát",N,
nhẹ,"lý, lẽ",N,
nhéc nhếch,mép,N,
Nhem,nhúm,M,
nhém,nhọ,M,
Nả nhém,mặt nhọ,N,
Nhẻn,"thẹn, xấu hổ",CH,
Nả Nhẻn,xấu hổ,V,
Nhẻn nhéc,thẹn thò,N,
Nhẻn nhéc,xấu mặt,N,
Nhèo nhèo,lèo tèo,N,
Nhèo nhèo,lao xao,V,
Nhẹp nhẹp,nhắp nhắp buồn,N,
Nhét nhét,xoèn xoẹt,N,
Nhẹt,hốc,M,
Nhên,nhân,M,
Nhên pẻng,nhân bánh,N,
Nhên ngại,tình nghĩa,M,
Nhên ngại,nhân tình,M,
Nhi chỉ,là cùng,C,
Nhi chỉ,nhất định,R,
Nhì nhằng,nhùng nhằng,N,
Nhì nhào,xì xào,N,
Nhì nhầm,thì thầm,M,
Nhi,hai,M,
Slíp Nhi,mười hai,M,
Bươn Nhi,tháng hai,N,time
Nhi,hạ tuần,V,time
Nhi slíp,hai mươi,M,
Nhí nhí,lí nhí,N,
Nhí nhí,tỉ tỉ,M,
Nhị,cái dùi nhỏ,A,
Nhị chào,dùi có rãnh,V,
Nhỉa,chết ngoẻo,V,
Nhỉm,dè,M,
Chin Nhỉm,ăn dè,V,
Nhìn,thấy,V,
Đảy Nhìn,nghe thấy,V,
Nhình,gái,N,
Lục Nhình,con gái,N,
Nhình,chị,Nc,
Pi Nhình,chị gái,N,
Nhình Na,chị Na,Np,
Nhỉnh,nhe,M,
Nhỉnh khẻo,nhe răng,P,
Nhỉnh,vẩu,M,
Khẻo Nhỉnh,răng vẩu,N,
Nhỉnh,"còi, chậm lớn",A,
Nhỉnh nhác,há ra,V,
Nhỉnh nhác,nhăn răng,P,
Nhính,"nứt, há",CH,
Nhính nhác,nứt toác,V,
Nhịnh,những,L,
Nhịnh,toàn,R,
Nhò,nhấc,M,
Nhò,cất,V,
Nhỏ,"rụt, bẹp xuống",V,
Nhỏ,sun lại,V,
Nhó,"nhô, chồi ra",V,
Nhó nhé,tấp tểnh,N,
Nhó nhé,chập chững,M,
Nhoa,thảng thốt,N,
Nhoa,ran,M,
Nhoa nhoa,rạo rực,N,
Nhóa nhóa,rào rào,M,
Nhoại,"xổ tung, xõa",CH,
Nhoại,rão,M,
Nhoóc,ốm,M,
Nhòi,khuyến khích,M,
Nhòi,xúi giục,M,
Nhói nhói,roi rói,N,
Nhọi nhọi,đến nơi,V,place
Nhọm,nhuộm,M,
Nhọm slửa,nhuộm áo,V,
Nhoong,rối bù,V,
Nhoòng pện,vì thế,X,
Nhót,chột,M,
Nhót,sút,M,
Nhọt,ngọn,N,
Nhọt mạy,ngọn cây,N,
Nhọt,đỉnh,N,
Nhọt pù,đỉnh núi,N,place
Nhốc,đống,M,
Nhốc đin,đống đất,N,
Nhôm nhôm,tua tủa,N,
Nhôm nhôm,sum suê,M,
Nhống,chìa,M,
Khẻo Nhống,răng chìa ra,V,
Nhống,hở,T,
Khẻo Nhống,răng hở,T,
Nhợ,nhỡ,M,
Nhù,rơm,N,
Nhù pắt,cái chổi,N,
Nhủ,"nhàu, quăn",CH,
Nhủ,chùn,M,
Nhủ nhút,nhàu rối,N,
Nhúc nhúc,nhung nhúc,N,
Nhúc nhúc,nhùng nhằng,N,
Nhục,vất vả,A,
Nhúm,nhúm,M,
Nhúm,"nhóm, tốp",CH,
Nhúm,mỉm,M,
Nhúm khua,mỉm cười,V,
Nhúm nhúm,tủm tỉm,N,
Nhúm nhước,cười ruồi,V,
Nhúm nhước,đưa tình,V,
Nhùng,muỗi vằn,N,
Nhủng,rối,M,
Phjôm Nhủng,tóc rối,N,
Nhủng,nhàu,M,place
Nhủng nhác,rác rưởi,M,
Nhưng nhảng,rối rắm,N,
Nhủng nhat,rối bù,V,
Nhuốt,râu,N,
Nhuốt rì,râu dài,N,
Nhuốt khao,râu bạc,N,
Nhuột,tuốt,M,
Nhuột khẩu,tuốt lúa,V,
Nhuột,"giẫm, vò",CH,
Nhụp nhụp,bời bời,M,
Nhụp nhụp,ùn ùn,A,
Nhút nhú,thập thò,N,
Nhụt,giãn,M,
Phải Nhụt,vải giãn,N,
Nhụt,dôi,M,
Nhụt,dâng,V,
Nặm Nhụt,nước dâng,V,
Nhụt,trườn,M,
Nhụt ngù,trườn như rắn,N,
Nhụt nhoạt,dư dật,M,
Nhụt nhoạt,rã rời,V,
Nhụt nhụt,tuồn tuột,N,
Nhừ,quay tít,V,
Nhửa,bã,M,
Nhửa ỏi,bã mía,N,
Nhửa,xơ,M,
Nhửa buốp,xơ mướp,M,
Nhửa,tóp,M,
Nhửa pì,tóp mỡ,N,
Nhược,"nếu, giá",C,
Nhược cạ,dù cho,E,
Nhương,nhồi,M,
Mảy Nhương,măng nhồi,N,
Nhương,nhường,M,
Nhương,nhân nhượng,M,
Ni,"trốn, chạy",V,
Ni slấc,chạy giặc,V,
Ni,tránh,V,
Ni,mất,V,
Khoăn Ni,mất vía,V,
Ni tả,bỏ rơi,M,
Ni,mày,P,
Nỉ,nợ,N,
Pjá Nỉ,trả nợ,V,
Ní,ấy,P,
Niêng,diều,M,
Niêng cáy,diều gà,N,
Niêng,bìu,M,
Niễng,gỉ,M,
Lếch Niễng,sắt gỉ,N,
Niếng,con cà niễng,N,
Nim,"cây, quả sim",T,
Nim,bon,M,
nín,"vú, sữa",CH,
Nỉnh,ỷ lại,M,
Nỉnh,đùn đẩy,V,
Nỉnh nàng,thà rằng,C,
Nính nính,nhằng nhẵng,N,
Níp,giắt,M,
Níp,gắp,M,
Nỉu,khâu leo,V,
Nỉu,níu,M,
Nỉu nắng,dúm dó,N,
Nịu,ngón,N,
Nịu mừ,ngón tay,N,
Nịu chang,ngón giữa,E,
Nịu chỉ,ngón trỏ,N,
Nịu hỏi,ngón út,N,
Nịu mẹ,ngón cái,T,
Nịu nàng,ngón áp út,V,
No,"kì, cọ",N,
No cầy,kì ghét,V,
No,vò,M,
no,"cho, ép lấy",V,
No,"nhỉ, nhé",T,
Nó,"mầm, ánh",N,
Nó khá,mầm cây giềng,N,
Nó,chồi,M,
Noài,thoai thoải,N,
Noài nựt,hơi dốc,N,
Noang,doãng dài,N,
Noóc,cái u,T,
Noóc,cái gò,T,
Noóc đin,gò đất,N,place
Noóc mò,gợn sóng,V,
Noọc,ngoài,E,
Bưởng Noọc,bên ngoài,N,place
Noọc tông,ngoài đồng,E,place
noóng,mót,M,
noọt,đánh gió,V,
Nòi,giống,A,
Nọi,ít,A,
Nọi chèn,ít tiền,N,
Nọi cần,ít người,N,
Nọi,kém,A,
Nọi,nhỏ,A,
Bản Nọi,bản nhỏ,N,
Nọi,hiếm,A,
Nọi,lẽ,N,
Mjề Nọi,vợ lẽ,N,
Nọi,trẻ,A,
Slao Nọi,gái trẻ,N,
Nọi đây,tốt biết mấy,R,
Nóm,"tơ, trẻ",CH,
Nóm,sơ sinh,M,
Đếch Nóm,trẻ sơ sinh,M,
Non,con sâu,N,
Non cằn,sâu róm,M,
Non cháp,con sâu đo,N,
Non nhảng,con sâu róm,N,
Nòn,nằm,V,
Nòn chai,nằm nghỉ,V,
Nòn,ngủ,V,
Nòn,lột xác,V,
Nòn ngài,ngủ trưa,V,time
Nòn ỏn,ngủ yên,V,
Non,phù sa,M,
Non,bùn màu,N,
Noong,mủ,M,
Noòng,"lũ, lụt",CH,
Noòng,mật sôi,V,
Noòng nhéo,lũ nhỏ,N,
Noỏng,cây sui,N,
Noọng,em,N,
Noọng,cái nhau,N,
Noọng a,em gái,N,
Noọng áo,em trai,N,
Noọng báo,em trai,N,
Noọng khươi,em rể,N,
Noọng lùa,em dâu,N,
Noọng na,em dì,N,
Noọng slao,em gái,N,
Nộc,chim,N,
Nộc bên,chim bay,V,
Nộc cạt,chim ác là,N,
Nộc cháu,cò bợ,M,
Nộc chích,chim chích,N,
Nộc choóc,chim sẻ,M,
nộc cốt,chim bìm bịp,N,
nộc cu,chim cu,N,
Nộc cuổi,chim hoàng anh,N,
Nộc dác,chim bồ các,N,
Nộc dùng,con công,N,
Nộc nhùng,con công,N,
Nộc duốc,con cò,N,
Nộc ho,con khướu,N,
Nộc kéo,chim sáo,N,
Nộc mọ,chim vẹt,N,
Nộc niều,chim muông,N,
Nộc nu,chim chóc,M,
Nộc pẹc,con đa đa,N,
Nộc phjây,chim ri,P,
Nộc slẩy,chim sâu,N,
Nộc sloa,chim trĩ,N,
Nộc vắc,chim cuốc,N,
Nội,hạn,M,
Nồm,cái vú,T,
Nồm ca,vú căng sữa,V,
Nồm,sữa,N,
Chin Nồm,bú sữa,V,
Nồm mò,sữa bò,N,
Nồm,cái núm,T,
Nồm hin,nhũ đá,N,
Nồm mò,quả vú sữa,N,
Nồng,Nùng,Np,
Cần Nồng,người Nùng,Np,
Nồng,Trung Quốc,Np,place
Pây Nồng,đi Trung Quốc,Np,place
Nống nống,ngoằng ngoằng,N,
Nống náng,lằng nhằng,N,
Nớ,nhé,T,
Nu,chuột,M,
Nu chỉ,chuột nhắt,N,
Nu khao,chuột bạch,N,
Nu vai,chuột rừng,N,
Nua,nếp,N,
Bắp Nua,ngô nếp,N,
Nua,xôi,N,
Nua,con trai,N,
Nua,quấn quýt,V,
Nua,hấp dẫn,M,
Nua nét,tri kỉ,M,
Núc nịch,líu ríu,M,
Num,mõm,M,
Num,nhừ,M,
Nựa Num,thịt nhừ nhũn,M,
Núm,non tơ,M,
Vài Núm,trâu non tơ,N,
Núm,mới nhú,V,
Nung,mặc,V,
Nung slửa,mặc áo,V,
Nung,đi,V,
Nung,đeo,V,
Nuốc,điếc,M,
Xu Nuốc,tai điếc,N,
Nuốc,không nổ,V,
Đạn Nuốc,đạn không nổ,V,
Nuồm,mới nở,V,
Nuồm,tơi,M,
Đin Nuồm,đất tơi,N,
Nuồm,mịn,M,
Bưa Nuồm,bột mịn,N,
Nuột,tuốt,M,
Nự,nữ,N,
Nưa,trên,E,
Pạng Nưa,phía trên,N,place
Nưa pù,trên núi,E,place
Nựa,thịt,N,
Đin Nựa,đất thịt,N,
Nựa,nước da,N,
Nựa,cùi,M,
Nựa chinh,thịt nạc,N,
Nựa mòi,thịt thăn,N,
Nựa năng,thịt da,N,
Nựa năng,thịt thà,N,
Nức,quánh,M,
Đin Nức,đất quánh,N,
Nực,tức,M,
Nực nực,giần giật,V,
Nựn,nuốt,V,
Nựn tang,nuốt chửng,V,
Nược nược,rập rờn,N,
Nưới,mỏi,M,
Kha Nưới,chân mỏi,N,
Nưới,chán chường,V,
ò,à,T,
ỏ,cây sậy,N,
ó ó,ò ó,N,
oóc,ra,V,
